Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8_level_1,W,L,Unnamed: 11_level_1,W,L,Unnamed: 14_level_1,W,L,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,16,16,.500,-5.84,-2.39,,8,8,,10,5,,5,10,,2260,2250,,71.1,98.6,.361,.262,.523,50.1,51.4,14.4,8.5,.483,18.0,31.8,.258
2,Air Force,32,4,28,.125,-8.07,3.65,,1,19,,3,13,,0,14,,1982,2357,,64.7,95.0,.354,.485,.525,46.6,62.9,8.7,8.1,.501,18.7,22.7,.225
3,Akron NCAA,35,28,7,.800,3.22,-3.75,,17,1,,16,0,,8,4,,2941,2627,,72.5,115.4,.261,.459,.579,52.3,58.6,10.5,9.8,.552,14.0,32.7,.197
4,Alabama NCAA,37,28,9,.757,25.54,16.14,,13,5,,12,3,,9,3,,3355,3007,,76.0,118.5,.393,.466,.596,53.5,55.4,8.1,10.1,.566,14.3,33.7,.283
5,Alabama A&M,32,10,22,.313,-20.52,-9.93,,6,12,,8,9,,2,12,,2337,2521,,73.0,98.4,.375,.410,.504,49.5,54.3,11.2,11.5,.470,18.1,35.1,.249
6,Alabama State NCAA,36,20,16,.556,-8.99,-8.19,,12,6,,8,3,,6,10,,2630,2607,,69.5,104.7,.290,.427,.505,47.7,45.1,11.4,8.2,.475,11.1,28.7,.199
7,Albany (NY),33,17,16,.515,-9.75,-8.55,,8,8,,7,7,,8,8,,2463,2437,,68.7,107.5,.289,.360,.530,50.8,45.9,11.9,6.5,.499,13.3,32.9,.207
8,Alcorn State,32,11,21,.344,-14.06,-6.96,,11,7,,6,3,,5,17,,2081,2307,,66.3,97.7,.306,.294,.496,49.9,43.6,9.9,8.7,.458,16.6,33.5,.219
9,American NCAA,35,22,13,.629,-7.64,-6.85,,13,5,,14,2,,5,10,,2406,2370,,64.4,105.2,.299,.454,.556,48.4,52.5,10.0,5.5,.523,15.2,24.5,.226
10,Appalachian State,31,17,14,.548,-2.59,-3.83,,10,8,,10,4,,5,8,,2102,1970,,64.5,104.7,.350,.412,.533,50.7,52.7,8.5,10.1,.507,14.5,28.2,.228
11,Arizona NCAA,37,24,13,.649,22.94,13.72,,14,6,,13,3,,6,5,,3052,2711,,70.4,116.3,.358,.347,.575,55.0,55.6,10.6,12.1,.533,13.7,36.0,.280
12,Arizona State,33,13,20,.394,10.62,13.32,,4,16,,5,9,,3,8,,2444,2533,,70.1,104.4,.362,.426,.551,47.8,51.1,7.4,12.1,.515,15.6,25.1,.263
13,Arkansas NCAA,36,22,14,.611,17.09,11.70,,8,10,,14,4,,4,6,,2765,2571,,70.3,108.5,.356,.366,.559,50.1,52.1,10.6,15.0,.522,14.3,28.1,.263
14,Arkansas State,36,25,11,.694,5.81,-2.40,,13,5,,14,2,,8,6,,2858,2528,,70.4,111.9,.325,.451,.535,51.9,52.0,10.3,11.3,.500,12.3,34.0,.236
15,Arkansas-Pine Bluff,31,6,25,.194,-24.34,-8.44,,3,15,,4,8,,2,17,,2242,2602,,73.1,99.0,.320,.379,.529,46.8,54.2,9.7,6.3,.515,17.5,26.9,.190
16,Army,33,17,16,.515,-12.11,-7.30,,10,8,,12,4,,4,11,,2416,2473,,67.7,105.7,.256,.426,.527,48.5,52.2,9.7,6.2,.504,12.6,27.3,.174
17,Auburn NCAA,38,32,6,.842,28.68,15.13,,15,3,,13,2,,8,2,,3153,2638,,69.2,119.6,.339,.408,.579,52.7,54.9,9.9,15.8,.549,11.7,34.2,.247
18,Austin Peay,33,14,19,.424,-9.57,-3.86,,8,10,,8,5,,4,13,,2362,2472,,67.2,105.3,.288,.409,.525,46.8,49.8,10.2,7.3,.493,12.7,26.7,.207
19,Ball State,31,14,17,.452,-7.95,-6.49,,7,11,,8,7,,4,9,,2336,2300,,69.0,108.4,.457,.373,.559,50.9,52.1,7.1,6.0,.519,14.8,27.7,.322
20,Baylor NCAA,35,20,15,.571,18.77,13.86,,10,10,,13,3,,3,9,,2664,2443,,65.8,113.6,.301,.398,.548,52.5,53.3,11.3,8.6,.514,13.5,36.6,.225
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
21,Bellarmine,31,5,26,.161,-15.26,-4.88,,2,16,,5,10,,0,16,,2252,2484,,67.6,106.6,.255,.445,.576,46.5,53.9,9.3,5.5,.548,16.0,21.2,.197
22,Belmont,33,22,11,.667,1.94,-0.12,,13,7,,11,5,,9,4,,2618,2529,,70.4,112.2,.261,.445,.573,49.1,60.1,9.8,9.2,.550,14.0,27.2,.187
23,Bethune-Cookman,33,17,16,.515,-10.22,-6.70,,13,5,,8,2,,7,12,,2265,2381,,69.6,98.6,.359,.339,.517,49.8,52.9,9.6,9.7,.482,17.0,28.8,.248
24,Binghamton,32,15,17,.469,-13.50,-9.12,,7,9,,9,4,,5,12,,2233,2287,,66.8,103.2,.336,.365,.555,52.2,51.9,7.1,8.4,.527,17.6,27.6,.233
25,Boise State,37,26,11,.703,13.86,5.75,,14,6,,13,2,,6,5,,2804,2477,,66.3,113.9,.377,.423,.574,55.6,56.1,8.5,7.6,.529,14.2,33.0,.294
26,Boston College,31,12,19,.387,-0.25,5.14,,4,16,,9,8,,0,10,,2182,2349,,66.8,102.4,.315,.330,.524,49.1,45.3,7.6,10.5,.489,15.0,28.8,.226
27,Boston University,32,16,16,.500,-11.00,-8.39,,10,8,,12,4,,3,12,,2148,2191,,64.1,103.1,.312,.422,.534,54.2,49.6,9.3,8.2,.510,17.4,32.8,.207
28,Bowling Green,32,14,18,.438,-9.53,-6.10,,8,10,,8,8,,5,8,,2352,2366,,70.1,104.8,.337,.401,.546,49.5,44.0,10.3,9.6,.508,15.4,26.5,.251
29,Bradley,37,28,9,.757,6.40,0.24,,15,5,,14,4,,9,3,,2823,2535,,66.4,113.3,.315,.431,.597,51.0,53.8,9.7,11.8,.569,15.3,26.5,.235
30,Brigham Young NCAA,36,26,10,.722,19.07,10.21,,14,6,,15,2,,6,5,,2931,2612,,68.1,117.6,.304,.476,.592,54.3,59.6,10.3,10.0,.570,14.9,33.7,.217
31,Brown,27,14,13,.519,-5.21,-4.28,,6,8,,8,6,,6,7,,1950,1933,,67.4,105.7,.278,.409,.534,50.4,55.0,8.7,14.0,.517,14.7,30.8,.175
32,Bryant NCAA,35,23,12,.657,-1.99,-6.93,,14,2,,12,3,,10,7,,2862,2598,,73.4,111.0,.293,.353,.545,52.9,49.5,9.0,14.4,.516,13.7,34.5,.210
33,Bucknell,33,18,15,.545,-5.35,-6.23,,13,5,,12,4,,6,10,,2443,2414,,67.4,105.0,.367,.410,.562,49.8,52.0,9.4,9.2,.538,16.6,26.0,.244
34,Buffalo,31,9,22,.290,-15.16,-3.92,,4,14,,6,9,,3,13,,2226,2508,,73.3,98.0,.338,.439,.527,47.1,54.0,9.2,8.8,.493,17.6,25.1,.237
35,Butler,35,15,20,.429,10.03,10.14,,6,14,,9,8,,2,9,,2616,2620,,67.6,110.2,.368,.416,.573,50.1,54.5,5.9,6.6,.537,14.4,26.1,.272
36,Cal Poly,35,16,19,.457,-2.47,-0.68,,8,12,,9,5,,5,13,,2873,2901,,75.0,107.9,.267,.509,.583,48.0,52.9,10.3,5.6,.554,18.2,28.0,.205
37,Cal State Bakersfield,33,14,19,.424,-5.93,-2.26,,8,12,,9,6,,4,11,,2434,2430,,67.6,108.3,.343,.295,.538,53.0,39.2,10.0,9.0,.494,15.5,36.7,.264
38,Cal State Fullerton,32,6,26,.188,-15.96,0.37,,1,19,,4,11,,2,15,,2024,2475,,68.8,92.0,.398,.338,.500,48.5,42.2,7.7,6.1,.447,19.0,27.2,.295
39,Cal State Northridge,33,22,11,.667,1.83,-3.36,,14,6,,10,3,,10,7,,2650,2406,,72.8,109.9,.357,.312,.557,55.9,56.6,10.4,10.5,.522,16.0,35.6,.259
40,California,33,14,19,.424,5.48,6.69,,6,14,,11,6,,2,11,,2494,2534,,67.8,108.1,.389,.378,.526,51.8,41.2,9.0,9.3,.478,13.9,34.7,.290
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
41,California Baptist,32,17,15,.531,-1.13,-2.35,,9,7,,11,5,,4,8,,2280,2241,,67.5,104.4,.297,.350,.522,51.3,45.6,9.7,6.9,.483,15.0,33.3,.225
42,Campbell,32,15,17,.469,-5.39,-4.96,,10,8,,8,6,,7,10,,2246,2169,,66.5,105.1,.303,.413,.544,48.0,54.3,10.3,8.8,.506,14.0,24.6,.234
43,Canisius,31,3,28,.097,-19.26,-5.42,,3,17,,1,12,,2,15,,2008,2437,,66.2,97.8,.233,.414,.540,41.6,47.7,9.3,7.2,.512,17.0,18.3,.177
44,Central Arkansas,33,9,24,.273,-15.16,-4.29,,4,14,,7,7,,1,17,,2318,2578,,67.9,101.1,.280,.482,.513,49.3,55.4,10.6,8.0,.480,15.3,29.4,.201
45,Central Connecticut State,32,25,7,.781,-4.47,-11.21,,14,2,,13,3,,12,3,,2312,2012,,66.5,108.2,.255,.358,.564,52.5,52.4,11.3,12.2,.538,15.0,27.0,.189
46,Central Michigan,31,14,17,.452,-4.51,-2.80,,7,11,,8,6,,6,10,,2341,2237,,69.6,107.7,.362,.338,.553,52.7,50.3,10.5,8.7,.517,15.2,32.1,.262
47,Charleston Southern,32,10,22,.313,-11.12,-2.45,,6,10,,7,5,,3,14,,2307,2503,,69.6,102.3,.448,.424,.526,51.9,47.7,6.7,6.3,.490,16.5,32.0,.296
48,Charlotte,33,11,22,.333,-5.45,-0.63,,3,15,,8,8,,1,12,,2328,2460,,65.4,105.8,.425,.412,.536,47.5,53.2,7.6,5.9,.485,13.2,25.7,.318
49,Chattanooga,38,29,9,.763,2.37,-2.94,,15,3,,14,3,,12,5,,3030,2772,,67.4,115.6,.299,.460,.592,50.0,60.7,9.9,8.2,.562,12.9,26.0,.230
50,Chicago State,32,4,28,.125,-21.12,-4.97,,4,12,,3,7,,1,19,,2001,2518,,69.0,90.0,.268,.409,.478,43.1,48.5,10.6,10.2,.444,16.4,22.6,.189
51,Cincinnati,35,19,16,.543,14.23,9.28,,7,13,,12,5,,4,9,,2491,2318,,66.6,106.9,.231,.383,.529,50.9,51.0,11.4,11.1,.511,13.3,32.2,.154
52,Clemson NCAA,34,27,7,.794,17.81,7.51,,18,2,,15,2,,9,3,,2586,2236,,65.0,114.4,.283,.388,.566,52.0,52.0,11.2,10.0,.534,13.6,33.7,.218
53,Cleveland State,36,23,13,.639,-1.55,-3.85,,14,6,,14,4,,7,7,,2631,2395,,66.7,109.1,.301,.324,.539,50.8,50.8,12.9,14.4,.506,14.6,35.3,.220
54,Coastal Carolina,32,10,22,.313,-12.13,-5.93,,3,15,,6,8,,3,13,,2136,2275,,64.4,103.2,.344,.399,.531,51.5,49.6,5.1,4.5,.497,16.0,29.4,.241
55,Colgate,33,14,19,.424,-7.71,-6.40,,10,8,,10,4,,4,13,,2379,2388,,66.9,106.9,.228,.425,.566,49.2,52.6,9.5,6.9,.544,15.0,24.0,.167
56,College of Charleston,33,24,9,.727,-0.60,-3.38,,13,5,,13,2,,7,5,,2549,2437,,70.3,108.3,.348,.399,.557,50.1,58.9,9.1,6.2,.525,14.2,26.6,.249
57,Colorado,35,14,21,.400,9.62,11.74,,3,17,,11,7,,0,10,,2441,2515,,68.2,101.6,.358,.373,.546,51.4,58.4,10.2,11.0,.504,18.4,29.2,.269
58,Colorado State NCAA,36,26,10,.722,13.94,6.05,,16,4,,14,2,,7,4,,2707,2423,,66.3,112.3,.316,.428,.590,52.3,62.3,7.7,7.9,.555,15.3,27.0,.245
59,Columbia,27,12,15,.444,-9.18,-5.70,,1,13,,9,6,,3,9,,2117,2109,,71.2,110.1,.290,.398,.562,50.3,61.0,10.9,5.9,.533,13.5,27.5,.213
60,Connecticut NCAA,35,24,11,.686,17.87,8.87,,14,6,,14,2,,7,4,,2696,2381,,64.6,117.6,.308,.427,.586,54.6,63.5,8.3,17.5,.550,14.5,35.5,.244
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
61,Coppin State,30,6,24,.200,-21.26,-5.71,,4,10,,5,6,,1,17,,1867,2292,,69.2,89.5,.363,.321,.484,45.2,51.5,11.7,5.6,.444,18.8,26.6,.247
62,Cornell,29,18,11,.621,0.91,-3.76,,9,5,,9,5,,8,5,,2467,2248,,72.2,117.8,.277,.489,.616,50.7,62.5,8.7,8.5,.592,14.8,27.5,.209
63,Creighton NCAA,36,25,11,.694,16.49,11.04,,15,5,,15,2,,6,5,,2717,2521,,67.7,110.7,.286,.489,.586,52.2,63.1,5.3,10.5,.561,16.0,26.4,.208
64,Dartmouth,28,14,14,.500,-4.74,-5.43,,8,6,,9,4,,5,9,,2166,2013,,71.9,107.1,.304,.471,.553,51.0,59.0,7.1,7.8,.520,14.1,24.7,.226
65,Davidson,33,17,16,.515,1.02,0.46,,6,12,,11,6,,4,7,,2393,2334,,66.6,109.0,.290,.416,.556,49.5,57.2,8.6,7.4,.525,12.9,24.6,.216
66,Dayton,34,23,11,.676,8.14,4.05,,12,6,,16,2,,6,5,,2564,2408,,66.1,112.4,.376,.410,.570,50.9,59.3,10.5,10.6,.532,13.6,29.6,.279
67,Delaware,36,16,20,.444,-6.11,-4.14,,5,13,,8,7,,3,11,,2780,2803,,70.4,109.7,.300,.408,.585,46.8,51.6,9.1,7.4,.551,15.2,23.0,.235
68,Delaware State,30,16,14,.533,-12.24,-9.05,,8,6,,11,2,,3,11,,2360,2229,,71.8,108.7,.339,.222,.538,52.4,48.1,11.9,7.5,.502,14.7,36.2,.245
69,Denver,32,11,21,.344,-10.40,-3.02,,5,11,,8,6,,3,12,,2316,2483,,68.7,103.7,.329,.367,.549,47.5,44.8,9.8,7.6,.513,16.1,26.3,.243
70,DePaul,34,14,20,.412,5.30,7.33,,4,16,,11,8,,2,10,,2463,2532,,67.7,104.7,.278,.462,.551,49.6,59.5,8.8,9.3,.525,16.0,26.9,.196
71,Detroit Mercy,32,8,24,.250,-13.46,-3.11,,4,16,,6,7,,2,15,,2146,2428,,67.7,97.6,.290,.288,.497,51.2,44.4,8.4,8.0,.459,16.2,32.5,.213
72,Drake NCAA,35,31,4,.886,9.60,1.27,,17,3,,14,2,,10,1,,2444,2062,,60.2,114.0,.423,.366,.578,54.9,56.0,14.6,8.5,.547,15.5,35.5,.296
73,Drexel,33,18,15,.545,-3.64,-5.61,,9,9,,8,6,,7,7,,2322,2207,,64.2,107.6,.247,.372,.547,52.9,49.4,7.5,12.0,.525,15.9,33.5,.173
74,Duke NCAA,39,35,4,.897,30.72,10.26,,19,1,,17,0,,10,1,,3246,2448,,66.6,125.0,.329,.446,.613,55.2,58.6,10.1,10.9,.579,12.1,34.0,.260
75,Duquesne,32,13,19,.406,1.18,0.89,,8,10,,9,7,,2,8,,2212,2155,,65.4,104.8,.296,.428,.528,50.6,55.6,10.8,12.6,.505,15.6,33.3,.193
76,East Carolina,33,19,14,.576,-0.69,-0.82,,10,8,,12,6,,4,6,,2502,2434,,68.0,109.4,.360,.349,.530,51.7,49.8,10.9,11.8,.491,13.2,34.9,.259
77,East Tennessee State,32,19,13,.594,-1.07,-5.20,,12,6,,13,3,,6,9,,2301,2128,,66.1,108.7,.322,.414,.531,52.7,50.9,12.1,11.6,.506,13.8,35.2,.213
78,East Texas A&M,31,5,26,.161,-12.38,-1.86,,3,17,,4,10,,1,16,,1995,2321,,67.8,94.5,.280,.483,.514,45.4,61.6,12.3,10.7,.492,19.7,28.1,.180
79,Eastern Illinois,31,12,19,.387,-12.62,-5.91,,8,12,,7,7,,4,12,,2062,2140,,67.9,97.2,.338,.289,.493,49.3,47.2,13.1,9.1,.458,15.6,30.9,.229
80,Eastern Kentucky,32,18,14,.563,-3.86,-4.46,,12,6,,10,3,,7,9,,2491,2408,,68.7,111.5,.269,.425,.531,49.7,47.2,12.4,9.3,.498,11.8,34.1,.201
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
81,Eastern Michigan,32,16,16,.500,-9.21,-5.38,,9,9,,9,5,,6,10,,2355,2449,,68.3,106.8,.336,.381,.561,49.2,48.0,10.1,9.8,.526,16.5,30.1,.247
82,Eastern Washington,32,10,22,.313,-8.85,-2.11,,6,12,,8,6,,2,14,,2283,2415,,68.4,104.3,.309,.371,.555,47.3,53.4,11.0,9.0,.517,16.3,27.0,.241
83,Elon,33,17,16,.515,-4.32,-4.94,,8,10,,10,4,,6,9,,2433,2315,,66.2,110.9,.382,.423,.554,54.7,49.2,7.7,11.7,.512,15.8,37.6,.286
84,Evansville,32,11,21,.344,-6.02,0.34,,8,12,,7,9,,4,11,,2113,2263,,67.1,98.4,.304,.409,.525,47.8,53.0,8.9,13.8,.495,15.8,22.8,.212
85,Fairfield,32,12,20,.375,-14.52,-7.68,,8,12,,8,6,,3,12,,2161,2324,,66.7,100.9,.260,.379,.500,47.5,51.5,10.2,8.4,.467,13.3,29.2,.189
86,FDU,33,13,20,.394,-11.96,-8.06,,8,8,,9,5,,4,15,,2431,2415,,69.2,104.9,.331,.421,.540,47.7,52.9,9.9,7.1,.507,14.7,27.2,.235
87,Florida NCAA,40,36,4,.900,27.78,12.60,,14,4,,15,1,,7,3,,3391,2784,,70.6,120.1,.349,.437,.580,55.6,52.4,10.5,11.7,.549,13.2,38.5,.254
88,Florida A&M,31,14,17,.452,-13.37,-6.03,,10,8,,9,3,,4,13,,2235,2334,,69.3,104.1,.359,.469,.555,49.3,51.7,7.5,8.6,.521,17.4,28.6,.256
89,Florida Atlantic,34,18,16,.529,3.72,1.96,,10,8,,8,6,,6,7,,2677,2569,,69.8,111.6,.330,.408,.562,50.6,57.4,8.9,11.1,.535,14.1,31.1,.230
90,Florida Gulf Coast,34,19,15,.559,-2.89,-4.92,,13,5,,11,5,,7,9,,2454,2370,,65.6,110.0,.232,.384,.555,52.6,51.0,8.4,7.1,.537,14.0,30.3,.159
91,Florida International,33,10,23,.303,-6.72,-1.66,,3,15,,7,8,,1,13,,2285,2380,,69.6,98.0,.348,.303,.508,50.3,49.1,12.7,13.6,.468,16.7,31.6,.246
92,Florida State,32,17,15,.531,8.43,6.43,,8,12,,11,5,,2,9,,2383,2319,,70.2,105.6,.394,.337,.546,49.4,50.0,10.8,14.1,.507,15.3,29.7,.282
93,Fordham,33,12,21,.364,-4.44,0.59,,3,15,,8,8,,2,10,,2452,2573,,70.5,104.2,.333,.416,.527,50.0,53.2,10.6,8.7,.491,15.7,31.9,.239
94,Fresno State,32,6,26,.188,-5.60,4.40,,2,18,,5,9,,1,14,,2262,2582,,70.7,97.3,.364,.353,.500,45.9,44.0,10.4,8.7,.461,15.4,27.0,.252
95,Furman,35,25,10,.714,-0.15,-3.27,,11,7,,13,3,,9,6,,2702,2443,,67.0,113.9,.336,.512,.576,51.4,64.0,9.7,9.0,.552,14.3,30.9,.231
96,Gardner-Webb,31,11,20,.355,-8.21,-3.86,,5,11,,5,6,,3,13,,2287,2422,,70.2,105.1,.362,.331,.550,52.0,39.4,7.4,8.8,.519,17.9,33.4,.251
97,George Mason,36,27,9,.750,7.20,0.83,,15,3,,18,2,,7,6,,2564,2296,,65.3,106.9,.423,.369,.560,53.0,52.5,11.3,10.8,.521,16.9,32.0,.302
98,George Washington,34,21,13,.618,2.00,-1.70,,9,9,,13,4,,5,6,,2489,2327,,67.5,107.2,.404,.419,.548,50.1,55.5,13.0,8.5,.512,15.9,31.7,.280
99,Georgetown,34,18,16,.529,8.18,5.77,,8,12,,14,5,,3,9,,2447,2365,,68.4,105.2,.256,.381,.529,50.8,52.7,11.5,10.7,.504,14.6,31.6,.180
100,Georgia NCAA,33,20,13,.606,16.36,10.94,,8,10,,15,3,,3,7,,2486,2307,,68.6,109.8,.401,.370,.558,52.8,47.8,11.3,14.5,.521,16.1,36.0,.288
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
101,Georgia Southern,33,17,16,.515,-7.53,-5.47,,8,10,,11,3,,4,11,,2449,2505,,70.0,104.4,.267,.442,.527,49.5,50.7,11.1,10.6,.506,16.0,33.0,.175
102,Georgia State,33,14,19,.424,-7.51,-3.01,,8,10,,9,6,,3,11,,2479,2583,,69.8,107.3,.328,.338,.537,51.4,44.7,7.5,7.8,.508,14.5,33.2,.225
103,Georgia Tech,34,17,17,.500,6.30,5.89,,10,10,,14,6,,2,9,,2485,2471,,69.0,104.4,.307,.368,.530,51.0,56.1,8.4,10.2,.502,15.0,30.3,.211
104,Gonzaga NCAA,35,26,9,.743,23.75,7.27,,14,4,,13,2,,8,2,,3024,2447,,70.4,121.5,.307,.336,.597,53.8,62.4,10.5,8.3,.560,11.6,32.5,.246
105,Grambling,34,12,22,.353,-12.44,-7.57,,7,11,,6,7,,4,12,,2271,2301,,67.0,99.0,.333,.348,.526,49.2,48.4,9.9,9.8,.488,16.7,26.7,.243
106,Grand Canyon NCAA,34,26,8,.765,4.97,-2.63,,13,3,,16,1,,5,4,,2661,2362,,72.5,107.5,.439,.341,.554,52.5,51.8,12.6,13.2,.509,15.7,32.6,.321
107,Green Bay,32,4,28,.125,-13.21,-2.53,,2,18,,3,11,,1,17,,2237,2570,,69.0,100.9,.367,.459,.555,44.7,60.2,7.1,5.5,.508,16.6,19.1,.288
108,Hampton,33,17,16,.515,-5.21,-4.01,,8,10,,10,4,,4,9,,2391,2309,,67.0,107.8,.300,.369,.520,52.5,45.7,11.2,9.1,.487,13.4,35.3,.214
109,Harvard,27,12,15,.444,-7.89,-3.92,,7,7,,7,5,,5,10,,1848,1945,,66.7,102.1,.249,.399,.539,47.4,54.3,11.0,7.7,.508,15.8,25.1,.191
110,Hawaii,31,15,16,.484,-3.57,-1.02,,7,13,,13,7,,2,9,,2173,2208,,66.7,104.2,.392,.382,.552,54.2,49.4,5.3,6.0,.511,17.5,31.3,.290
111,High Point NCAA,35,29,6,.829,5.30,-5.19,,14,2,,16,1,,7,3,,2858,2413,,67.1,121.3,.367,.393,.599,53.7,45.4,9.1,7.8,.564,13.2,35.0,.280
112,Hofstra,33,15,18,.455,-4.97,-3.88,,6,12,,6,7,,5,9,,2202,2141,,64.9,101.2,.256,.431,.527,49.9,56.3,9.0,11.9,.500,15.1,25.7,.183
113,Holy Cross,32,13,19,.406,-12.54,-7.37,,5,13,,7,6,,4,13,,2227,2307,,66.2,104.3,.220,.417,.558,49.2,48.3,6.9,7.8,.537,16.1,23.4,.159
114,Houston NCAA,40,35,5,.875,28.45,13.45,,19,1,,16,1,,10,0,,2946,2346,,62.4,116.2,.272,.347,.547,53.9,45.1,12.2,15.8,.517,11.8,36.9,.201
115,Houston Christian,32,12,20,.375,-8.17,-2.97,,9,11,,8,7,,4,12,,2111,2220,,65.3,101.0,.312,.439,.524,46.9,46.9,12.1,9.4,.495,15.7,26.7,.214
116,Howard,32,12,20,.375,-12.02,-6.88,,7,7,,8,6,,3,11,,2480,2538,,71.5,107.5,.367,.399,.575,49.9,59.4,7.8,7.7,.539,18.1,30.1,.272
117,Idaho,33,14,19,.424,-8.00,-3.49,,8,10,,8,6,,5,11,,2430,2493,,67.1,109.3,.339,.473,.559,49.6,49.2,8.7,8.1,.522,15.2,29.9,.254
118,Idaho State,30,15,15,.500,-3.95,-4.02,,10,8,,10,4,,5,10,,2230,2099,,66.7,110.9,.336,.376,.532,56.4,51.1,9.0,12.9,.492,13.3,39.7,.249
119,Illinois NCAA,35,22,13,.629,21.59,12.79,,12,8,,13,4,,5,5,,2927,2619,,72.3,114.8,.344,.472,.563,56.0,51.7,5.9,9.2,.524,13.6,35.8,.262
120,Illinois State,36,22,14,.611,1.91,-0.57,,10,10,,12,4,,5,7,,2727,2585,,66.1,114.2,.311,.472,.598,50.8,54.3,8.4,5.5,.570,14.2,24.9,.233
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
121,Illinois-Chicago,31,17,14,.548,-0.63,0.58,,10,10,,9,5,,7,6,,2357,2286,,69.1,108.2,.339,.392,.556,51.8,57.3,9.6,8.2,.523,15.0,30.5,.244
