Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8_level_1,W,L,Unnamed: 11_level_1,W,L,Unnamed: 14_level_1,W,L,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
122,Incarnate Word,36,19,17,.528,-5.61,-5.23,,9,11,,11,5,,4,10,,2659,2508,,65.4,112.1,.289,.358,.557,52.5,45.2,10.5,10.1,.534,14.7,35.7,.198
123,Indiana,32,19,13,.594,14.63,12.00,,10,10,,14,4,,4,6,,2389,2305,,69.1,107.7,.331,.332,.543,51.9,58.4,8.4,9.2,.511,14.4,31.5,.233
124,Indiana State,32,14,18,.438,-3.15,-0.65,,8,12,,8,6,,4,9,,2563,2545,,72.4,109.4,.344,.494,.585,50.6,57.2,9.3,5.9,.551,17.0,26.7,.258
125,Iona,34,17,17,.500,-8.58,-7.78,,12,8,,7,7,,7,7,,2369,2396,,68.6,100.9,.279,.347,.504,53.1,56.4,13.9,9.4,.475,17.3,39.1,.191
126,Iowa,33,17,16,.515,12.85,10.06,,7,13,,12,6,,2,8,,2722,2630,,71.4,115.1,.260,.410,.587,46.4,59.8,9.3,11.0,.568,12.2,25.1,.183
127,Iowa State NCAA,35,25,10,.714,22.33,10.33,,13,7,,15,2,,6,5,,2812,2392,,69.4,114.1,.379,.368,.586,53.0,53.4,13.2,10.1,.549,14.9,32.2,.285
128,IU Indy,32,10,22,.313,-11.52,-4.24,,6,14,,6,8,,4,12,,2402,2458,,66.8,112.0,.337,.469,.553,49.4,54.3,9.3,6.1,.516,13.1,31.9,.250
129,Jackson State,34,16,18,.471,-9.39,-6.24,,14,4,,8,1,,6,15,,2428,2535,,70.1,100.4,.375,.337,.521,50.1,49.7,10.0,9.6,.477,16.8,30.1,.274
130,Jacksonville,33,19,14,.576,-4.29,-3.80,,12,6,,11,3,,7,9,,2379,2360,,68.7,104.5,.292,.339,.527,52.4,52.1,11.2,12.3,.502,16.3,35.8,.197
131,Jacksonville State,36,23,13,.639,1.76,0.12,,12,6,,12,2,,8,8,,2653,2464,,66.0,110.9,.313,.373,.547,53.8,44.9,7.6,10.3,.511,13.1,31.8,.236
132,James Madison,32,20,12,.625,-1.72,-2.68,,13,5,,13,2,,5,8,,2365,2256,,65.9,111.2,.306,.443,.551,51.4,45.3,9.1,8.5,.516,13.6,32.1,.231
133,Kansas NCAA,34,21,13,.618,20.09,13.56,,11,9,,14,3,,4,8,,2587,2365,,69.2,108.7,.244,.341,.554,52.6,61.2,8.9,12.9,.531,14.7,30.5,.175
134,Kansas City,33,13,20,.394,-5.66,-3.04,,4,12,,9,5,,2,12,,2386,2218,,66.3,109.1,.321,.445,.545,53.4,49.9,11.2,10.1,.506,15.3,35.6,.244
135,Kansas State,33,16,17,.485,10.89,9.67,,9,11,,10,6,,3,9,,2337,2297,,67.9,103.9,.276,.402,.532,48.8,59.0,10.8,9.2,.506,15.4,29.4,.191
136,Kennesaw State,33,19,14,.576,0.50,0.83,,10,8,,12,3,,5,8,,2526,2417,,71.6,106.1,.368,.458,.539,54.2,51.2,9.2,11.6,.501,16.1,34.4,.265
137,Kent State,36,24,12,.667,1.42,-2.67,,11,7,,11,4,,10,6,,2647,2459,,67.7,108.2,.300,.372,.531,53.5,46.9,11.0,9.7,.495,14.5,35.8,.224
138,Kentucky NCAA,36,24,12,.667,21.26,14.04,,10,8,,15,3,,4,6,,3040,2780,,72.2,116.5,.352,.412,.589,51.9,57.0,9.5,11.4,.559,13.2,28.2,.257
139,La Salle,33,14,19,.424,-3.64,1.02,,5,13,,10,5,,2,10,,2376,2465,,69.6,103.1,.307,.335,.507,50.0,45.9,10.3,10.1,.469,13.1,31.0,.223
140,Lafayette,33,13,20,.394,-10.19,-8.35,,7,11,,10,6,,3,14,,2261,2274,,65.9,102.8,.304,.406,.533,48.6,60.1,8.7,9.8,.506,14.6,25.0,.208
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
141,Lamar,33,20,13,.606,-2.17,-2.64,,14,6,,10,4,,9,6,,2306,2170,,66.8,104.2,.284,.330,.513,52.4,58.6,11.1,14.2,.485,15.5,36.0,.195
142,Le Moyne,32,9,23,.281,-17.81,-8.35,,4,12,,6,7,,2,16,,2371,2566,,69.0,104.6,.367,.414,.560,47.9,55.0,9.8,6.1,.529,17.3,26.9,.259
143,Lehigh,30,11,19,.367,-10.29,-6.71,,6,12,,8,5,,3,14,,2110,2143,,67.3,103.6,.312,.379,.546,47.5,52.9,8.5,5.7,.521,14.3,22.2,.213
144,Liberty NCAA,35,28,7,.800,7.42,-0.99,,13,5,,12,3,,9,2,,2655,2219,,67.1,112.7,.288,.489,.596,48.9,61.4,9.8,7.8,.583,13.7,20.7,.190
145,Lindenwood,33,16,17,.485,-13.17,-7.27,,10,10,,11,3,,3,12,,2348,2354,,70.6,99.3,.358,.342,.506,49.3,44.2,11.7,10.9,.470,15.2,30.4,.243
146,Lipscomb NCAA,35,25,10,.714,4.39,-4.43,,14,4,,15,3,,10,6,,2752,2371,,68.0,115.2,.305,.474,.591,51.1,55.3,10.1,7.8,.555,12.8,25.4,.242
147,Little Rock,33,19,14,.576,-6.86,-7.67,,12,8,,9,5,,9,7,,2287,2219,,68.1,101.1,.289,.308,.531,48.2,53.0,13.2,16.4,.502,17.5,30.6,.204
148,Long Beach State,32,7,25,.219,-10.29,-0.53,,3,17,,3,11,,4,11,,2152,2374,,65.9,100.8,.360,.368,.541,48.3,49.5,8.5,8.5,.498,18.8,29.7,.272
149,Long Island University,33,17,16,.515,-10.97,-9.97,,12,4,,10,5,,7,9,,2235,2156,,65.5,101.5,.271,.340,.518,52.8,46.7,12.2,11.5,.488,16.6,33.6,.195
150,Longwood,32,18,14,.563,-4.63,-5.04,,7,9,,12,4,,5,7,,2504,2371,,70.6,110.8,.454,.339,.563,52.2,50.4,10.8,6.5,.519,15.2,33.1,.330
151,Louisiana,33,12,21,.364,-10.70,-2.33,,8,10,,5,12,,6,5,,2159,2410,,66.7,97.4,.305,.380,.497,44.4,44.9,11.0,8.4,.458,14.1,26.2,.222
152,Louisiana State,32,14,18,.438,9.93,9.68,,3,15,,11,7,,2,8,,2363,2355,,69.5,105.0,.325,.435,.543,48.5,48.8,10.1,11.7,.511,16.1,29.5,.232
153,Louisiana Tech,32,20,12,.625,1.45,-0.72,,9,9,,11,4,,5,7,,2364,2188,,66.6,109.1,.342,.410,.571,53.0,58.4,9.5,11.5,.536,16.3,30.3,.256
154,Louisiana-Monroe,32,7,25,.219,-15.10,-4.30,,3,15,,5,11,,2,12,,2205,2417,,68.7,99.6,.309,.343,.501,49.1,52.8,10.3,7.0,.464,14.5,30.2,.220
155,Louisville NCAA,35,27,8,.771,18.49,9.49,,18,2,,14,3,,9,2,,2747,2432,,69.0,113.3,.337,.478,.567,52.7,51.3,9.2,8.1,.532,14.0,31.9,.251
156,Loyola (IL),37,25,12,.676,3.41,0.19,,12,6,,17,1,,7,5,,2721,2553,,67.4,108.0,.322,.429,.556,51.5,60.8,9.1,13.4,.532,15.2,29.6,.218
157,Loyola (MD),31,12,19,.387,-11.85,-8.48,,6,12,,7,7,,5,12,,2145,2205,,67.0,102.8,.295,.396,.529,50.3,55.0,10.7,7.9,.500,15.5,29.3,.206
158,Loyola Marymount,32,17,15,.531,1.20,2.94,,8,10,,11,6,,3,8,,2279,2290,,68.7,103.6,.285,.404,.537,47.0,51.5,8.4,10.3,.507,13.6,22.9,.206
159,Maine,34,20,14,.588,-6.58,-8.40,,10,6,,10,3,,8,11,,2409,2248,,67.1,105.2,.281,.329,.551,46.1,56.4,13.5,10.3,.521,13.9,23.1,.206
160,Manhattan,31,17,14,.548,-7.67,-8.37,,12,8,,9,5,,8,7,,2365,2327,,67.5,110.8,.320,.415,.549,50.7,56.3,9.2,6.8,.510,14.3,33.1,.246
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
161,Marist,30,20,10,.667,-8.95,-10.45,,13,7,,11,4,,9,5,,1979,1934,,64.2,101.5,.224,.376,.522,52.7,55.8,8.9,9.7,.499,15.9,30.6,.158
162,Marquette NCAA,34,23,11,.676,18.19,10.37,,13,7,,14,3,,7,6,,2603,2337,,68.1,111.6,.259,.464,.546,48.7,49.5,13.1,10.7,.520,11.8,30.0,.187
163,Marshall,33,20,13,.606,-2.26,-4.52,,12,6,,14,3,,5,9,,2499,2366,,69.2,109.0,.341,.403,.537,51.6,54.6,9.6,14.2,.505,14.1,33.5,.236
164,Maryland NCAA,36,27,9,.750,23.33,9.41,,14,6,,17,2,,5,5,,2919,2418,,70.4,114.8,.331,.354,.570,51.7,49.1,11.2,11.8,.536,12.4,30.7,.248
165,Maryland-Baltimore County,32,13,19,.406,-11.56,-8.21,,5,11,,8,9,,5,10,,2559,2522,,71.6,110.0,.312,.387,.581,45.5,50.5,10.1,6.4,.559,14.2,22.0,.216
166,Maryland-Eastern Shore,31,6,25,.194,-20.65,-4.47,,2,12,,5,7,,1,17,,2090,2410,,68.7,98.2,.349,.367,.515,47.5,48.9,7.7,5.6,.484,17.0,27.8,.232
167,Massachusetts,32,12,20,.375,-3.08,0.15,,7,11,,8,8,,4,7,,2333,2399,,71.0,101.2,.342,.321,.489,51.2,49.1,10.8,13.4,.455,13.6,34.8,.227
168,Massachusetts-Lowell,32,17,15,.531,-7.64,-7.60,,6,10,,14,4,,3,11,,2543,2371,,70.3,112.2,.341,.347,.594,52.0,53.7,8.3,10.4,.558,15.8,27.5,.263
169,McNeese State NCAA,35,28,7,.800,9.14,-1.05,,19,1,,13,1,,10,2,,2680,2256,,66.4,115.3,.349,.368,.569,52.3,50.8,13.6,11.6,.542,13.9,34.9,.243
170,Memphis NCAA,35,29,6,.829,12.15,5.66,,16,2,,13,2,,11,2,,2795,2568,,71.2,111.0,.393,.333,.567,52.1,51.5,10.8,13.3,.535,16.5,35.3,.276
171,Mercer,33,14,19,.424,-8.44,-5.11,,6,12,,7,6,,5,11,,2511,2485,,72.4,103.9,.289,.402,.522,50.6,47.4,11.5,7.8,.500,14.2,29.7,.189
172,Mercyhurst,31,15,16,.484,-15.65,-9.68,,9,7,,11,2,,4,14,,2105,2167,,65.4,102.6,.308,.358,.539,44.8,57.0,11.1,6.9,.494,14.6,23.8,.247
173,Merrimack,33,18,15,.545,-4.65,-6.04,,14,6,,8,5,,9,8,,2166,2120,,64.7,100.7,.244,.429,.521,41.3,49.7,14.6,10.6,.494,12.5,20.8,.177
174,Miami (FL),31,7,24,.226,0.38,7.03,,3,17,,7,10,,0,10,,2294,2500,,67.6,108.6,.264,.385,.551,48.2,47.0,9.4,9.6,.519,14.0,28.2,.202
175,Miami (OH),34,25,9,.735,-0.92,-5.36,,14,4,,15,1,,6,7,,2740,2473,,70.6,113.8,.275,.447,.592,50.4,55.8,11.3,10.3,.570,15.1,28.4,.199
176,Michigan NCAA,37,27,10,.730,20.21,13.69,,14,6,,13,3,,7,3,,2885,2644,,70.7,109.5,.357,.420,.571,53.0,58.0,7.5,9.5,.538,17.0,33.2,.260
177,Michigan State NCAA,37,30,7,.811,22.43,11.89,,17,3,,15,1,,8,2,,2874,2484,,69.0,112.3,.377,.329,.556,56.3,61.1,7.7,13.2,.509,14.0,35.3,.294
178,Middle Tennessee,34,22,12,.647,2.52,1.02,,12,6,,11,5,,8,5,,2608,2466,,69.2,108.1,.329,.393,.541,51.8,45.2,9.3,11.2,.516,14.0,31.4,.220
179,Milwaukee,32,21,11,.656,0.35,-3.79,,14,6,,13,3,,7,8,,2510,2295,,69.9,111.4,.382,.316,.548,56.8,50.4,10.9,9.4,.517,15.6,40.5,.261
180,Minnesota,32,15,17,.469,8.48,10.14,,7,13,,10,9,,5,5,,2178,2231,,63.8,104.6,.315,.359,.525,49.4,61.3,9.3,12.9,.499,14.3,30.2,.209
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
181,Mississippi NCAA,36,24,12,.667,18.28,12.80,,10,8,,13,3,,5,6,,2779,2582,,69.2,110.8,.353,.400,.552,47.1,53.2,12.6,11.8,.514,11.4,25.5,.260
182,Mississippi State NCAA,34,21,13,.618,17.14,11.79,,8,10,,10,5,,6,5,,2704,2522,,69.6,113.0,.315,.427,.548,51.5,53.2,13.0,13.8,.519,12.9,33.9,.221
183,Mississippi Valley State,31,3,28,.097,-34.60,-4.77,,1,17,,2,9,,1,19,,1678,2506,,66.6,81.3,.307,.302,.467,43.1,42.3,9.0,5.4,.434,21.8,23.4,.203
184,Missouri NCAA,34,22,12,.647,19.49,9.49,,10,8,,18,2,,3,7,,2844,2504,,69.8,119.4,.471,.414,.596,50.9,49.7,13.4,7.3,.558,13.4,33.5,.344
185,Missouri State,32,9,23,.281,-3.94,0.52,,2,18,,7,8,,1,12,,2175,2268,,64.6,102.4,.347,.368,.538,51.3,50.3,11.1,8.1,.513,17.8,32.0,.228
186,Monmouth,33,13,20,.394,-8.14,-3.11,,10,8,,8,2,,4,14,,2321,2487,,67.3,103.3,.367,.346,.518,47.3,49.6,8.7,12.7,.472,14.0,29.8,.273
187,Montana NCAA,35,25,10,.714,-1.45,-1.60,,15,3,,15,1,,7,8,,2680,2565,,68.0,112.3,.349,.370,.594,49.2,49.2,9.2,8.4,.565,14.4,23.7,.256
188,Montana State,33,15,18,.455,-2.77,-2.71,,9,9,,11,3,,3,14,,2354,2298,,66.7,106.6,.311,.432,.559,47.0,52.1,9.5,9.1,.529,13.5,21.6,.226
189,Morehead State,32,15,17,.469,-13.65,-7.52,,10,10,,9,5,,6,10,,2116,2199,,65.8,100.2,.370,.345,.506,53.3,49.7,8.5,7.0,.470,15.3,31.9,.250
190,Morgan State,32,14,18,.438,-15.13,-8.55,,7,7,,11,4,,2,13,,2559,2584,,73.0,108.2,.356,.219,.551,50.1,43.7,9.4,11.3,.514,15.7,34.7,.259
191,Mount St. Mary's NCAA,36,23,13,.639,-7.91,-6.48,,12,8,,10,4,,9,8,,2524,2538,,68.0,101.7,.311,.411,.546,52.9,60.4,8.7,8.2,.512,18.9,30.9,.229
192,Murray State,33,16,17,.485,0.81,0.40,,9,11,,7,5,,6,8,,2371,2282,,65.8,106.7,.412,.400,.544,51.0,49.7,9.9,8.1,.502,14.7,29.4,.297
193,Navy,34,15,19,.441,-9.90,-8.78,,10,8,,9,5,,6,12,,2407,2393,,66.8,105.5,.334,.372,.525,51.5,54.0,9.7,8.2,.486,13.8,31.4,.245
194,NC State,31,12,19,.387,5.56,6.36,,5,15,,12,6,,0,11,,2158,2183,,65.8,105.4,.323,.362,.520,47.2,51.6,9.8,10.2,.483,12.5,28.8,.234
195,Nebraska,35,21,14,.600,13.86,10.46,,7,13,,10,6,,5,7,,2660,2541,,69.0,108.5,.355,.385,.559,50.1,53.4,10.2,9.0,.521,14.3,27.1,.266
196,Nevada,33,17,16,.515,9.44,5.25,,8,12,,11,6,,3,8,,2386,2248,,64.9,110.6,.373,.375,.568,50.7,58.8,9.5,12.4,.537,13.8,27.4,.262
197,Nevada-Las Vegas,33,18,15,.545,6.65,5.53,,11,9,,12,5,,5,7,,2285,2248,,66.0,104.9,.358,.346,.535,49.1,49.6,9.9,11.5,.497,14.1,27.3,.257
198,New Hampshire,32,8,24,.250,-19.80,-7.47,,6,10,,6,7,,2,15,,2124,2450,,69.0,96.2,.268,.409,.503,47.9,46.5,8.2,6.7,.479,16.7,27.9,.177
199,New Mexico NCAA,35,27,8,.771,15.20,6.52,,17,3,,16,1,,7,4,,2819,2472,,72.8,109.9,.367,.319,.546,52.5,51.6,11.9,13.9,.515,13.4,31.7,.253
200,New Mexico State,32,17,15,.531,0.86,0.41,,10,8,,9,6,,8,6,,2229,2110,,67.1,103.4,.334,.375,.508,52.8,47.4,9.5,7.3,.475,13.7,33.2,.225
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
201,New Orleans,31,4,27,.129,-15.16,-0.61,,2,18,,0,11,,3,15,,2105,2556,,69.5,96.9,.339,.307,.493,47.7,50.1,10.4,7.1,.459,16.0,31.6,.227
202,Niagara,31,11,20,.355,-12.79,-8.56,,6,14,,6,7,,3,13,,2122,2214,,65.2,103.7,.307,.429,.558,48.3,52.2,9.4,6.5,.526,16.7,23.8,.227
203,Nicholls State,33,20,13,.606,-2.13,-2.46,,13,7,,11,4,,8,8,,2443,2296,,68.9,106.6,.329,.360,.522,50.1,43.0,11.6,10.6,.490,13.0,31.4,.226
204,NJIT,31,6,25,.194,-17.92,-7.85,,3,13,,4,9,,1,16,,2023,2269,,67.1,96.8,.271,.379,.494,48.6,43.0,7.1,9.6,.458,15.5,29.1,.198
205,Norfolk State NCAA,35,24,11,.686,-3.72,-6.65,,11,3,,11,1,,8,9,,2696,2440,,68.2,112.2,.383,.286,.575,51.5,50.0,10.2,9.1,.535,15.6,32.9,.290
206,North Alabama,35,24,11,.686,1.02,-5.50,,14,4,,16,1,,7,10,,2753,2471,,67.7,115.4,.316,.348,.548,52.4,42.3,11.0,9.7,.518,11.0,34.0,.224
207,North Carolina NCAA,37,23,14,.622,17.27,11.22,,13,7,,12,3,,6,6,,2987,2763,,70.7,113.4,.348,.372,.575,52.1,51.7,8.4,9.6,.541,13.3,29.1,.257
208,North Carolina A&T,32,7,25,.219,-13.28,-4.31,,3,15,,5,9,,2,15,,2213,2439,,69.5,99.5,.313,.366,.497,47.6,45.3,8.9,8.0,.464,13.3,27.3,.215
209,North Carolina Central,33,14,19,.424,-12.91,-8.05,,6,8,,10,4,,2,13,,2600,2501,,70.3,110.3,.381,.347,.552,50.0,56.8,11.7,6.5,.520,15.7,37.2,.265
210,North Dakota,33,12,21,.364,-7.39,-1.49,,5,11,,8,6,,2,12,,2550,2624,,70.4,109.8,.328,.402,.533,51.9,45.1,8.1,6.9,.500,13.6,34.1,.232
211,North Dakota State,32,21,11,.656,1.11,-3.58,,10,6,,11,4,,8,6,,2595,2386,,66.4,120.2,.334,.523,.613,51.3,55.1,5.4,4.9,.581,13.6,28.2,.259
212,North Florida,32,15,17,.469,-8.48,-3.74,,8,10,,8,6,,7,10,,2651,2712,,73.2,111.9,.243,.540,.559,47.1,55.2,8.5,7.1,.540,13.1,28.7,.167
213,North Texas,36,27,9,.750,7.70,0.84,,14,4,,17,1,,8,5,,2447,2165,,61.4,110.7,.355,.364,.556,52.8,44.5,12.3,8.2,.513,14.4,33.0,.273
214,Northeastern,32,17,15,.531,-4.64,-5.08,,9,9,,8,5,,7,8,,2243,2229,,67.1,104.4,.280,.348,.536,50.1,49.7,11.3,12.6,.511,16.0,31.4,.193
215,Northern Arizona,34,18,16,.529,-6.53,-5.73,,8,10,,10,5,,7,8,,2581,2435,,68.0,111.6,.286,.375,.542,53.8,52.9,9.0,4.3,.521,12.6,33.0,.189
216,Northern Colorado,35,25,10,.714,1.10,-3.84,,15,3,,13,2,,9,7,,2822,2545,,68.8,116.0,.328,.383,.605,53.4,53.9,8.8,6.3,.580,14.2,26.7,.238
217,Northern Illinois,31,6,25,.194,-16.60,-4.52,,2,16,,5,10,,1,15,,2199,2383,,70.9,98.9,.302,.479,.522,44.4,51.3,8.5,9.9,.490,14.4,19.5,.213
218,Northern Iowa,33,20,13,.606,5.24,0.46,,14,6,,14,3,,5,6,,2418,2223,,65.7,111.1,.352,.359,.578,51.1,52.6,9.0,9.2,.552,14.3,25.7,.244
219,Northern Kentucky,33,17,16,.515,-4.79,-3.14,,11,9,,12,6,,5,10,,2371,2377,,67.4,104.9,.314,.397,.530,49.2,54.8,11.3,9.4,.504,15.1,32.0,.210
220,Northwestern,33,17,16,.515,14.40,11.13,,7,13,,12,5,,2,9,,2390,2282,,66.1,107.9,.313,.342,.533,49.8,55.8,10.3,10.7,.498,12.8,31.2,.230
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
221,Northwestern State,32,16,16,.500,-5.07,-1.44,,12,8,,9,5,,6,10,,2146,2204,,64.8,102.7,.327,.359,.529,50.8,53.8,10.4,12.5,.494,17.2,33.6,.234
222,Notre Dame,33,15,18,.455,7.07,6.92,,8,12,,11,5,,3,9,,2397,2392,,65.4,108.2,.318,.375,.551,51.9,44.2,8.3,5.1,.517,14.4,29.6,.235
223,Oakland,34,16,18,.471,-2.67,-0.95,,11,9,,9,4,,6,11,,2402,2436,,64.6,106.9,.312,.425,.531,51.1,51.1,9.9,8.7,.501,15.2,34.8,.218
224,Ohio,32,16,16,.500,-2.63,-4.37,,10,8,,12,3,,3,10,,2554,2449,,71.6,110.6,.330,.402,.576,48.1,50.1,10.0,7.4,.541,13.6,24.1,.251
225,Ohio State,32,17,15,.531,17.86,12.58,,9,11,,11,6,,4,7,,2522,2353,,68.5,112.4,.358,.377,.572,49.7,48.1,9.3,10.0,.535,13.7,28.9,.268
226,Oklahoma NCAA,34,20,14,.588,14.86,11.22,,6,12,,12,5,,2,7,,2661,2537,,69.9,112.0,.399,.416,.591,48.3,51.6,11.2,6.8,.544,15.4,26.6,.317
227,Oklahoma State,35,17,18,.486,6.89,10.18,,7,13,,13,4,,3,10,,2556,2671,,71.9,101.5,.410,.347,.530,50.2,51.4,12.6,8.9,.486,16.6,31.1,.294
228,Old Dominion,35,15,20,.429,-9.71,-4.25,,8,10,,7,9,,5,7,,2376,2502,,66.2,101.8,.316,.358,.487,51.7,44.0,8.3,9.0,.447,14.1,36.5,.226
229,Omaha NCAA,35,22,13,.629,-1.61,-2.43,,13,3,,11,2,,7,9,,2707,2634,,69.1,112.0,.363,.394,.563,52.0,49.4,8.6,7.4,.529,13.6,29.7,.262
230,Oral Roberts,30,7,23,.233,-11.71,-0.78,,3,13,,7,7,,0,15,,2200,2356,,68.3,106.9,.348,.457,.557,46.5,41.5,7.2,6.7,.519,15.0,24.5,.262
231,Oregon NCAA,35,25,10,.714,18.00,12.32,,12,8,,12,4,,7,4,,2679,2480,,68.7,110.2,.330,.383,.562,51.5,52.9,10.3,9.9,.525,14.2,30.5,.250
232,Oregon State,33,20,13,.606,8.62,2.24,,10,8,,15,3,,3,7,,2516,2276,,65.1,115.8,.381,.354,.591,53.3,54.8,9.9,9.3,.548,14.6,32.2,.299
233,Pacific,33,9,24,.273,-7.11,2.09,,4,14,,5,10,,2,13,,2295,2500,,68.2,101.3,.326,.375,.528,50.7,51.4,8.3,8.3,.491,16.6,29.5,.236
234,Penn State,31,16,15,.516,13.57,7.70,,6,14,,11,6,,3,8,,2452,2270,,71.0,111.4,.379,.362,.580,50.2,57.8,11.4,11.3,.541,15.4,28.6,.287
235,Pennsylvania,27,8,19,.296,-10.56,-2.74,,4,10,,5,8,,3,10,,1878,2089,,67.5,102.6,.289,.444,.523,48.3,55.7,7.3,4.7,.494,14.3,26.8,.202
236,Pepperdine,35,13,22,.371,-2.82,2.56,,4,14,,7,9,,2,11,,2560,2681,,69.5,105.3,.314,.347,.535,49.4,60.1,8.8,7.3,.503,13.9,28.2,.225
237,Pittsburgh,32,17,15,.531,13.27,8.24,,8,12,,13,4,,3,9,,2428,2267,,66.8,112.6,.342,.414,.564,49.5,51.4,10.8,12.5,.522,12.9,29.0,.267
238,Portland,32,12,20,.375,-7.29,2.17,,7,11,,9,7,,3,9,,2334,2574,,69.5,103.4,.316,.428,.551,47.9,61.6,6.6,8.1,.511,16.1,24.1,.245
239,Portland State,32,19,13,.594,-4.41,-5.27,,11,7,,13,1,,5,10,,2418,2227,,69.9,107.6,.321,.318,.543,52.4,51.3,11.7,14.0,.525,15.5,34.2,.202
240,Prairie View,32,5,27,.156,-19.30,-7.30,,4,14,,3,7,,2,19,,2286,2637,,71.7,99.6,.341,.337,.522,41.8,47.6,11.3,8.1,.489,14.8,24.8,.236
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
241,Presbyterian,33,14,19,.424,-6.68,-4.35,,7,9,,8,5,,4,12,,2449,2341,,66.5,110.4,.317,.340,.557,50.2,48.0,10.1,9.0,.530,13.7,30.0,.221
242,Princeton,30,19,11,.633,-2.85,-2.49,,8,6,,9,4,,7,4,,2209,2162,,68.6,107.4,.240,.487,.544,50.0,57.5,10.7,6.5,.520,13.3,27.1,.171
