Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8_level_1,W,L,Unnamed: 11_level_1,W,L,Unnamed: 14_level_1,W,L,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
243,Providence,32,12,20,.375,7.17,8.33,,6,14,,10,6,,2,9,,2283,2320,,66.6,106.6,.296,.455,.546,52.8,51.2,7.4,9.2,.521,16.3,33.2,.203
244,Purdue NCAA,36,24,12,.667,20.80,13.91,,13,7,,14,2,,5,6,,2781,2533,,66.2,116.8,.346,.384,.589,51.7,58.3,9.7,5.1,.559,13.7,31.8,.254
245,Purdue Fort Wayne,32,19,13,.594,-1.00,-4.06,,12,8,,12,2,,6,10,,2583,2388,,70.5,113.2,.284,.455,.582,45.0,47.3,12.2,7.9,.554,12.1,22.4,.213
246,Queens (NC),35,20,15,.571,-5.41,-4.95,,11,7,,9,5,,9,9,,2685,2611,,69.7,108.9,.348,.444,.555,51.3,59.9,9.2,13.8,.528,15.5,31.7,.239
247,Quinnipiac,33,20,13,.606,-5.94,-7.72,,15,5,,12,2,,7,10,,2439,2358,,71.6,102.9,.313,.379,.524,53.9,52.7,11.5,12.3,.482,15.4,33.3,.239
248,Radford,33,20,13,.606,-2.72,-3.43,,9,7,,10,3,,7,9,,2441,2314,,64.9,113.1,.398,.366,.566,53.1,45.4,8.5,9.4,.521,14.8,34.6,.304
249,Rhode Island,31,18,13,.581,1.06,-0.91,,7,11,,14,3,,1,9,,2419,2328,,71.2,108.3,.426,.378,.565,51.3,51.9,8.2,8.9,.531,15.8,28.9,.296
250,Rice,32,13,19,.406,-2.08,-2.12,,4,14,,7,8,,4,8,,2249,2249,,65.9,105.8,.434,.387,.524,52.3,50.7,7.0,8.4,.485,15.0,33.7,.296
251,Richmond,32,10,22,.313,-5.48,1.45,,5,13,,6,9,,2,11,,2137,2302,,64.8,100.7,.311,.457,.534,46.5,51.2,9.0,7.1,.489,14.0,19.6,.246
252,Rider,33,14,19,.424,-12.06,-7.24,,9,11,,5,7,,8,11,,2211,2370,,65.3,102.6,.296,.301,.512,50.4,51.1,8.2,9.1,.477,14.6,32.2,.214
253,Robert Morris NCAA,35,26,9,.743,0.40,-4.92,,15,5,,16,2,,8,6,,2694,2485,,68.8,109.8,.375,.366,.550,53.4,60.2,9.1,12.1,.513,15.6,35.5,.270
254,Rutgers,32,15,17,.469,10.41,10.94,,8,12,,11,5,,3,8,,2465,2482,,69.4,108.8,.362,.363,.542,49.1,47.7,9.9,10.2,.506,13.3,30.8,.260
255,Sacramento State,32,7,25,.219,-14.10,-4.06,,3,15,,5,11,,2,13,,2119,2257,,66.1,100.2,.311,.458,.530,50.2,56.0,9.0,10.5,.504,17.4,27.7,.210
256,Sacred Heart,33,15,18,.455,-9.00,-8.41,,10,10,,8,5,,5,11,,2502,2481,,70.0,107.8,.262,.445,.544,50.9,61.1,10.5,8.6,.516,15.0,31.8,.192
257,Saint Francis (PA) NCAA,34,16,18,.471,-12.76,-7.41,,8,8,,10,4,,6,13,,2415,2433,,67.1,104.0,.233,.421,.557,49.7,53.7,9.1,7.3,.534,16.9,26.1,.169
258,Saint Joseph's,35,22,13,.629,7.28,0.85,,11,7,,13,5,,4,6,,2627,2402,,68.4,109.0,.317,.465,.551,51.7,56.2,9.5,13.8,.516,14.2,30.3,.237
259,Saint Louis,34,19,15,.559,3.04,2.04,,11,7,,14,3,,4,9,,2527,2423,,68.5,107.8,.306,.501,.585,50.2,56.6,9.2,8.2,.565,16.7,23.7,.210
260,Saint Mary's (CA) NCAA,35,29,6,.829,17.43,6.46,,17,1,,16,1,,9,1,,2551,2138,,63.7,113.6,.309,.334,.533,57.5,56.3,9.5,10.6,.504,12.4,39.8,.215
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
261,Saint Peter's,28,12,16,.429,-10.64,-8.45,,7,13,,6,6,,6,10,,1848,1842,,65.0,100.6,.343,.382,.502,53.2,46.3,10.3,10.7,.458,17.2,37.7,.254
262,Sam Houston,32,13,19,.406,-2.86,1.31,,6,12,,9,4,,3,13,,2411,2433,,69.1,107.8,.357,.384,.556,50.3,49.8,9.2,8.4,.520,15.7,31.1,.259
263,Samford,33,22,11,.667,1.13,-3.58,,12,6,,13,3,,9,7,,2736,2492,,71.8,114.5,.289,.464,.571,50.5,56.0,13.6,11.6,.545,15.2,35.4,.209
264,San Diego,33,6,27,.182,-8.37,1.63,,2,16,,5,13,,0,12,,2314,2629,,71.6,98.0,.306,.357,.501,47.9,45.9,10.4,10.2,.459,16.0,30.1,.230
265,San Diego State NCAA,31,21,10,.677,12.77,8.14,,14,6,,12,3,,6,4,,2194,2004,,66.4,105.8,.317,.402,.535,49.8,51.2,11.4,18.6,.509,14.2,29.6,.210
266,San Francisco,35,25,10,.714,10.46,3.87,,13,5,,17,3,,5,5,,2660,2420,,69.0,109.7,.343,.435,.559,50.7,52.3,9.5,9.2,.528,14.7,29.3,.244
267,San Jose State,35,15,20,.429,0.50,4.05,,7,13,,7,9,,3,9,,2525,2568,,67.1,106.3,.307,.407,.549,48.9,50.7,8.8,7.9,.514,14.9,28.0,.228
268,Santa Clara,34,21,13,.618,13.22,4.25,,12,6,,12,5,,6,5,,2786,2481,,70.1,115.7,.284,.464,.585,53.5,59.5,9.2,8.3,.560,14.5,32.7,.207
269,Seattle,32,14,18,.438,-0.21,-1.35,,8,8,,9,5,,4,11,,2254,2125,,67.9,103.7,.426,.369,.521,50.8,51.7,11.9,9.9,.474,14.4,30.3,.305
270,Seton Hall,32,7,25,.219,-0.26,8.36,,2,18,,5,11,,0,11,,1970,2246,,64.7,94.0,.329,.305,.481,47.8,50.7,12.4,11.9,.447,16.4,31.2,.218
271,Siena,32,14,18,.438,-7.46,-7.58,,9,11,,9,5,,4,10,,2311,2307,,67.6,105.2,.373,.399,.537,48.7,48.3,10.0,13.3,.494,15.0,28.8,.277
272,South Alabama,32,21,11,.656,1.52,-4.12,,13,5,,13,4,,8,6,,2334,2066,,64.2,110.9,.335,.457,.549,49.5,56.6,14.2,11.4,.518,12.3,29.0,.236
273,South Carolina,32,12,20,.375,9.89,11.55,,2,16,,10,8,,1,10,,2233,2286,,66.8,103.7,.433,.390,.534,51.6,54.7,8.4,7.8,.489,15.9,30.4,.310
274,South Carolina State,33,20,13,.606,-4.62,-9.05,,11,3,,10,2,,7,10,,2624,2324,,71.5,110.3,.429,.336,.566,52.6,57.0,13.2,9.8,.529,16.8,36.6,.304
275,South Carolina Upstate,32,6,26,.188,-15.67,-2.70,,2,14,,4,10,,2,14,,2393,2673,,74.1,100.9,.312,.374,.537,47.3,48.4,10.2,6.3,.511,16.9,25.8,.211
276,South Dakota,33,19,14,.576,-5.69,-3.49,,9,7,,14,2,,4,11,,2812,2763,,74.7,114.1,.440,.385,.553,47.5,40.4,10.1,8.6,.511,11.1,30.8,.314
277,South Dakota State,32,20,12,.625,2.15,-1.82,,11,5,,13,1,,4,8,,2546,2352,,69.7,114.2,.306,.408,.574,56.5,49.4,6.7,8.2,.543,14.8,33.8,.229
278,South Florida,32,13,19,.406,-2.15,-0.18,,6,12,,9,6,,2,10,,2381,2385,,69.7,105.9,.344,.374,.539,47.6,54.6,11.8,9.6,.503,13.8,28.3,.248
279,Southeast Missouri State,33,21,12,.636,-4.84,-7.80,,15,5,,12,3,,8,7,,2442,2212,,69.7,105.4,.279,.368,.546,49.2,49.7,11.6,9.6,.518,13.6,25.2,.202
280,Southeastern Louisiana,32,18,14,.563,-4.00,-4.67,,12,8,,8,4,,9,8,,2324,2232,,67.5,106.7,.346,.319,.538,51.5,45.9,10.2,7.3,.497,14.7,31.5,.259
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
281,Southern,32,20,12,.625,-6.83,-7.90,,15,3,,11,1,,9,10,,2392,2184,,70.6,105.1,.370,.338,.522,53.7,48.9,13.6,11.8,.490,14.9,36.0,.247
282,Southern California,35,17,18,.486,12.97,10.86,,7,13,,12,7,,3,7,,2685,2611,,69.0,110.4,.355,.348,.582,49.6,56.5,9.1,8.7,.548,15.7,27.9,.263
283,Southern Illinois,33,14,19,.424,-2.22,1.07,,8,12,,7,8,,5,7,,2405,2458,,68.4,105.7,.338,.333,.546,51.7,53.4,9.1,8.5,.520,15.8,30.3,.228
284,SIU Edwardsville NCAA,34,22,12,.647,-6.12,-7.44,,13,7,,12,3,,7,8,,2436,2260,,67.7,105.0,.323,.368,.520,51.5,52.9,9.7,11.5,.492,14.2,31.9,.216
285,Southern Indiana,30,10,20,.333,-13.86,-8.40,,5,15,,8,7,,2,13,,2144,2204,,68.5,103.0,.303,.344,.523,49.2,44.8,9.7,7.6,.488,14.6,29.0,.221
286,Southern Methodist,35,24,11,.686,14.35,5.72,,13,7,,13,6,,7,4,,2797,2495,,69.3,115.3,.367,.351,.576,53.9,56.1,11.6,10.7,.545,14.7,36.3,.262
287,Southern Mississippi,33,11,22,.333,-9.91,-3.33,,5,13,,9,6,,1,13,,2352,2507,,71.4,99.0,.334,.367,.520,50.0,56.5,9.6,11.3,.486,16.9,28.7,.231
288,Southern Utah,31,12,19,.387,-10.63,-2.13,,4,12,,8,7,,3,11,,2163,2285,,70.8,98.5,.357,.326,.518,50.5,48.9,7.2,9.8,.476,17.7,31.0,.261
289,St. Bonaventure,34,22,12,.647,2.92,0.07,,9,9,,12,4,,7,6,,2334,2218,,65.3,104.7,.300,.352,.533,50.6,43.8,11.5,11.0,.499,13.9,28.0,.218
290,St. John's (NY) NCAA,36,31,5,.861,21.25,8.56,,18,2,,18,0,,8,2,,2825,2368,,70.1,110.3,.303,.310,.522,53.7,53.6,12.5,14.9,.492,12.6,37.9,.210
291,St. Thomas,34,24,10,.706,1.01,-4.51,,12,4,,14,0,,7,8,,2827,2544,,69.8,118.8,.336,.462,.615,47.2,53.6,10.2,9.4,.582,12.3,22.8,.262
292,Stanford,35,21,14,.600,8.78,6.07,,11,9,,17,3,,3,8,,2571,2476,,67.1,109.4,.299,.417,.547,50.7,53.9,10.1,10.0,.507,13.5,30.9,.236
293,Stephen F. Austin,31,14,17,.452,-8.01,-3.29,,7,13,,8,8,,6,9,,2065,2118,,68.2,96.5,.319,.368,.501,51.4,51.3,12.1,11.5,.475,19.0,35.8,.202
294,Stetson,32,8,24,.250,-16.70,-4.70,,6,12,,5,9,,3,11,,2293,2608,,69.5,102.4,.338,.379,.546,46.5,46.7,7.4,8.1,.509,16.5,25.0,.249
295,Stonehill,32,15,17,.469,-13.12,-9.55,,7,9,,11,3,,3,13,,2198,2242,,66.3,103.7,.319,.445,.546,49.8,60.7,9.7,7.0,.513,16.2,27.5,.231
296,Stony Brook,32,8,24,.250,-13.84,-4.42,,4,14,,5,9,,3,13,,2128,2372,,64.9,102.5,.311,.392,.520,48.8,48.8,7.9,6.3,.480,15.5,29.8,.232
297,Syracuse,33,14,19,.424,4.95,8.04,,7,13,,11,6,,2,9,,2464,2566,,68.7,106.3,.331,.327,.542,52.7,49.9,6.9,6.8,.510,15.4,31.4,.234
298,Tarleton State,32,12,20,.375,-10.31,-0.31,,7,9,,10,3,,1,14,,2025,2227,,68.5,92.4,.422,.253,.523,48.9,48.5,13.7,12.2,.473,22.5,30.7,.309
299,TCU,32,16,16,.500,10.49,11.64,,9,11,,14,3,,2,9,,2162,2199,,67.1,100.3,.335,.347,.497,50.6,49.9,11.3,10.7,.468,14.6,33.0,.217
300,Temple,32,17,15,.531,-0.24,-0.37,,9,9,,12,2,,3,9,,2520,2487,,69.4,110.9,.452,.318,.553,50.7,41.3,9.0,9.5,.506,13.4,31.9,.333
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
301,Tennessee NCAA,38,30,8,.789,24.20,13.25,,12,6,,16,1,,6,5,,2813,2397,,64.9,114.0,.355,.434,.563,53.5,60.6,10.7,15.1,.525,13.7,35.6,.265
302,Tennessee State,33,17,16,.515,-8.01,-8.71,,12,8,,12,3,,4,10,,2577,2418,,71.6,106.6,.404,.343,.550,54.2,48.4,9.8,9.9,.519,17.8,36.3,.275
303,Tennessee Tech,32,15,17,.469,-11.09,-7.82,,10,10,,9,5,,5,10,,2308,2371,,69.0,103.8,.290,.469,.541,47.0,60.0,9.1,6.5,.515,14.9,24.2,.202
304,Tennessee-Martin,33,14,19,.424,-11.18,-8.18,,9,11,,8,5,,5,12,,2455,2373,,68.0,107.0,.342,.475,.529,53.0,53.5,11.6,9.5,.495,15.7,35.9,.239
305,Texas NCAA,35,19,16,.543,15.65,9.79,,6,12,,11,7,,4,6,,2747,2542,,68.4,113.1,.368,.353,.566,50.7,47.3,9.0,11.6,.526,12.5,29.7,.275
306,Texas A&M NCAA,34,23,11,.676,19.30,13.39,,11,7,,13,3,,5,5,,2537,2336,,67.8,109.2,.413,.377,.517,55.9,47.4,11.1,13.5,.476,14.4,41.4,.286
307,Texas A&M-Corpus Christi,34,20,14,.588,-0.99,-3.39,,12,8,,15,2,,4,11,,2576,2291,,68.5,110.5,.354,.294,.558,53.0,52.6,11.5,10.3,.540,15.0,33.7,.223
308,Texas Southern,32,15,17,.469,-10.27,-8.23,,12,6,,9,4,,6,12,,2325,2307,,71.6,100.7,.281,.353,.520,49.1,51.8,11.9,9.6,.488,16.6,30.8,.203
309,Texas State,32,16,16,.500,-3.60,-3.77,,9,9,,10,4,,4,10,,2439,2346,,67.2,110.9,.364,.277,.556,53.0,53.6,10.3,11.1,.515,15.2,35.8,.276
310,Texas Tech NCAA,37,28,9,.757,23.05,10.62,,15,5,,15,3,,8,2,,2993,2533,,66.5,119.5,.292,.445,.578,53.1,57.2,9.3,8.3,.547,12.1,34.2,.222
311,Texas-Rio Grande Valley,31,16,15,.516,-6.05,-3.38,,8,12,,12,4,,2,11,,2378,2294,,71.5,107.4,.220,.507,.548,50.2,61.2,10.6,7.0,.527,16.1,31.7,.156
312,The Citadel,30,5,25,.167,-18.37,-4.49,,0,18,,5,12,,0,12,,1997,2251,,66.3,99.1,.345,.455,.509,48.5,52.1,8.9,6.1,.486,16.1,28.8,.213
313,Toledo,33,18,15,.545,-6.03,-2.78,,10,8,,9,4,,6,9,,2603,2645,,69.6,113.0,.354,.284,.552,49.3,46.7,7.7,7.2,.512,11.6,30.4,.265
314,Towson,33,22,11,.667,-1.92,-3.57,,16,2,,12,1,,9,5,,2309,2201,,64.1,108.0,.283,.377,.512,52.6,42.0,10.0,9.9,.484,12.0,35.3,.193
315,Troy NCAA,34,23,11,.676,3.55,-2.10,,13,5,,11,4,,9,6,,2495,2235,,67.5,108.7,.379,.449,.541,53.8,55.6,14.0,12.9,.502,16.6,39.0,.272
316,Tulane,34,19,15,.559,1.24,-0.73,,12,6,,14,3,,4,7,,2533,2393,,68.1,109.0,.357,.396,.559,49.0,57.2,10.8,13.1,.519,14.0,27.3,.271
317,Tulsa,33,13,20,.394,-5.93,-1.90,,6,12,,8,9,,3,8,,2352,2430,,67.6,103.8,.338,.426,.531,49.1,54.3,8.9,6.9,.503,14.5,27.3,.225
318,UAB,37,24,13,.649,4.70,-0.10,,13,5,,14,4,,7,6,,3040,2822,,70.4,115.9,.309,.295,.544,53.5,53.6,9.5,10.3,.506,11.6,37.9,.236
319,UC Davis,32,15,17,.469,-6.41,-1.51,,9,11,,8,6,,7,10,,2175,2249,,68.6,98.6,.376,.350,.517,47.7,48.0,11.4,10.4,.470,16.8,28.9,.279
320,UC Irvine,39,32,7,.821,7.60,-0.80,,17,3,,13,2,,14,3,,2962,2613,,69.7,107.2,.366,.349,.564,52.6,60.2,9.3,8.8,.517,15.9,27.8,.290
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
321,UC Riverside,34,21,13,.618,-1.47,0.38,,14,6,,14,1,,7,11,,2542,2550,,68.0,108.3,.269,.428,.532,51.7,49.7,7.9,6.7,.498,13.7,33.2,.203
322,UC San Diego NCAA,35,30,5,.857,12.63,-1.92,,18,2,,13,2,,12,2,,2777,2163,,67.4,117.7,.322,.503,.585,49.7,57.7,14.6,7.1,.555,11.4,26.7,.240
323,UC Santa Barbara,34,21,13,.618,0.28,-3.50,,11,9,,12,5,,7,7,,2527,2340,,66.9,111.0,.302,.472,.584,50.6,58.1,9.0,8.7,.553,16.1,27.7,.231
324,UCF,37,20,17,.541,10.59,11.22,,7,13,,13,5,,2,8,,2951,2974,,72.5,108.2,.356,.417,.543,48.7,52.1,10.3,10.9,.497,14.3,31.9,.276
325,UCLA NCAA,34,23,11,.676,19.68,10.71,,13,7,,15,2,,5,5,,2522,2217,,66.2,112.0,.323,.365,.558,50.9,61.1,12.2,11.0,.528,13.7,32.7,.230
326,UNC Asheville,32,21,11,.656,-5.36,-4.71,,11,5,,13,1,,6,9,,2630,2450,,70.8,114.8,.344,.367,.567,49.1,47.7,10.5,11.7,.537,12.6,31.3,.246
327,UNC Greensboro,32,20,12,.625,-0.99,-4.13,,13,5,,11,3,,8,6,,2332,2092,,65.2,111.8,.296,.427,.553,51.9,50.9,9.2,8.7,.522,13.0,31.8,.217
328,UNC Wilmington NCAA,35,27,8,.771,2.36,-3.95,,14,4,,15,3,,9,4,,2771,2459,,67.4,116.2,.370,.367,.570,55.0,55.4,9.4,10.3,.531,13.7,36.5,.278
329,UT Arlington,31,13,18,.419,-5.55,-2.83,,6,10,,9,4,,3,11,,2302,2320,,69.1,106.1,.367,.423,.547,50.8,54.6,8.5,8.0,.521,16.6,33.1,.243
330,Utah,33,16,17,.485,11.44,8.50,,8,12,,15,4,,1,9,,2493,2396,,69.3,108.6,.368,.439,.541,53.4,65.6,9.2,10.2,.518,15.1,34.4,.236
331,Utah State NCAA,34,26,8,.765,13.56,5.35,,15,5,,15,2,,7,4,,2716,2381,,67.2,118.8,.369,.427,.587,52.1,61.2,12.7,9.0,.560,13.6,34.9,.259
332,Utah Tech,33,7,26,.212,-10.29,-1.65,,2,14,,5,8,,0,16,,2305,2508,,69.3,100.5,.331,.387,.522,47.6,51.6,9.3,8.2,.489,15.9,28.0,.230
333,Utah Valley,34,25,9,.735,1.91,-3.31,,15,1,,12,0,,10,7,,2584,2322,,69.4,108.8,.414,.314,.554,53.4,58.2,9.5,14.2,.521,15.1,31.5,.285
334,UTEP,33,18,15,.545,-0.63,0.34,,7,11,,11,5,,4,8,,2392,2335,,69.5,103.9,.373,.365,.541,46.0,52.6,14.6,9.2,.503,15.0,25.6,.267
335,UTSA,31,12,19,.387,-2.55,0.52,,6,12,,7,7,,4,11,,2378,2382,,70.4,108.1,.287,.442,.543,46.0,48.2,13.4,10.0,.503,13.4,28.8,.227
336,Valparaiso,34,15,19,.441,-2.90,-0.12,,6,14,,10,7,,3,10,,2539,2513,,68.5,107.8,.328,.383,.537,49.2,46.8,8.4,10.3,.491,12.3,27.4,.259
337,Vanderbilt NCAA,33,20,13,.606,14.66,10.05,,8,10,,14,3,,3,7,,2604,2452,,69.8,112.6,.334,.404,.552,50.0,50.2,12.8,11.2,.515,12.5,31.6,.249
338,Vermont,33,21,12,.636,-8.06,-7.61,,13,3,,13,3,,7,8,,2199,2106,,64.4,103.4,.304,.433,.537,50.8,51.3,8.7,13.0,.505,15.3,26.8,.219
339,Villanova,36,21,15,.583,13.28,7.45,,11,9,,14,3,,3,8,,2664,2454,,63.8,115.7,.292,.437,.581,52.1,48.4,8.8,7.8,.545,13.3,30.3,.232
340,Virginia,32,15,17,.469,5.71,7.71,,8,12,,10,7,,4,7,,2073,2137,,61.6,105.1,.264,.428,.556,47.1,63.6,8.9,11.3,.527,14.8,22.4,.199
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
341,Virginia Commonwealth NCAA,35,28,7,.800,14.45,1.30,,15,3,,15,1,,7,3,,2693,2201,,66.6,115.1,.321,.480,.560,53.3,56.4,12.0,15.3,.526,14.1,36.9,.239
342,VMI,34,15,19,.441,-11.25,-4.88,,7,11,,7,7,,5,10,,2492,2487,,68.8,106.1,.352,.477,.546,48.9,51.3,11.5,8.2,.504,15.2,28.3,.268
343,Virginia Tech,32,13,19,.406,2.62,6.62,,8,12,,8,9,,5,5,,2213,2341,,66.1,103.5,.308,.404,.543,50.9,51.5,8.1,5.8,.512,17.4,31.0,.220
344,Wagner,30,14,16,.467,-15.75,-10.29,,6,10,,8,6,,6,10,,1874,1818,,61.8,99.9,.295,.379,.503,53.6,57.0,11.3,5.8,.469,15.9,32.6,.209
345,Wake Forest,32,21,11,.656,9.63,7.47,,13,7,,13,3,,6,6,,2246,2177,,67.9,103.4,.361,.352,.538,48.3,45.8,10.6,12.7,.494,14.8,26.8,.273
346,Washington,31,13,18,.419,6.26,10.76,,4,16,,9,9,,2,9,,2219,2339,,68.6,103.4,.352,.357,.537,48.9,50.6,9.3,10.5,.506,15.3,27.6,.240
347,Washington State,34,19,15,.559,4.67,4.32,,8,10,,10,4,,4,7,,2683,2671,,71.6,109.8,.327,.413,.589,50.0,59.3,8.9,12.7,.566,17.9,31.1,.229
348,Weber State,34,12,22,.353,-9.64,-3.16,,5,13,,5,10,,4,11,,2443,2443,,66.9,106.6,.343,.382,.552,49.3,44.9,9.6,7.4,.521,14.4,25.5,.241
349,West Georgia,31,6,25,.194,-15.57,-4.50,,4,14,,4,8,,2,15,,2140,2426,,69.3,99.6,.286,.301,.510,47.4,52.1,10.1,9.2,.480,14.3,26.2,.198
350,West Virginia,32,19,13,.594,14.89,11.54,,10,10,,13,4,,4,7,,2181,2074,,65.2,102.9,.256,.461,.528,47.6,56.5,11.4,11.6,.500,14.3,25.9,.185
351,Western Carolina,30,8,22,.267,-15.83,-2.35,,4,14,,7,7,,1,14,,2090,2371,,71.6,96.1,.277,.488,.505,49.5,50.3,7.3,8.7,.468,16.9,27.0,.207
352,Western Illinois,31,12,19,.387,-15.22,-8.50,,6,14,,8,7,,4,11,,2130,2211,,65.5,104.1,.275,.376,.536,50.4,41.0,8.2,9.8,.511,15.8,30.2,.190
353,Western Kentucky,32,17,15,.531,-0.50,1.00,,8,10,,13,5,,4,9,,2395,2392,,72.9,102.3,.309,.399,.523,47.8,45.3,11.1,7.9,.488,13.3,23.9,.224
354,Western Michigan,32,12,20,.375,-9.55,-4.17,,9,9,,6,9,,6,10,,2306,2433,,69.4,103.8,.309,.332,.504,52.0,46.8,10.0,6.8,.474,13.3,34.3,.208
355,Wichita State,34,19,15,.559,2.29,1.81,,8,10,,11,6,,5,7,,2516,2485,,69.4,105.8,.351,.283,.528,52.2,44.2,9.6,11.7,.488,14.2,32.4,.256
356,William & Mary,32,17,15,.531,-6.26,-4.26,,11,7,,12,2,,4,11,,2487,2445,,71.2,109.1,.348,.517,.574,49.0,62.8,10.2,5.2,.544,15.8,26.9,.251
357,Winthrop,34,23,11,.676,-1.68,-4.17,,11,5,,16,2,,5,8,,2879,2651,,74.1,113.1,.470,.390,.570,51.6,44.9,10.6,8.8,.540,15.0,33.4,.314
358,Wisconsin NCAA,37,27,10,.730,20.73,11.49,,13,7,,14,3,,6,5,,2964,2622,,68.7,116.3,.342,.482,.584,51.7,54.2,7.5,6.3,.538,12.3,28.0,.282
359,Wofford NCAA,35,19,16,.543,-0.13,-2.34,,10,8,,7,6,,8,8,,2623,2451,,65.2,114.1,.303,.480,.554,55.4,56.0,9.1,8.6,.534,13.9,36.9,.200
360,Wright State,33,15,18,.455,-4.89,-3.79,,8,12,,11,4,,3,12,,2551,2520,,68.1,112.2,.270,.377,.586,51.4,52.7,8.3,8.2,.566,15.6,29.0,.191
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
361,Wyoming,32,12,20,.375,-0.67,4.21,,5,15,,8,7,,3,10,,2149,2277,,65.7,101.8,.300,.399,.529,51.5,47.9,6.7,8.2,.506,16.9,30.7,.196
362,Xavier NCAA,34,22,12,.647,15.25,8.72,,13,7,,15,2,,5,7,,2656,2434,,69.4,111.7,.367,.376,.584,50.4,62.8,11.1,6.9,.541,14.0,24.4,.289
363,Yale NCAA,30,22,8,.733,6.66,-3.10,,13,1,,11,0,,7,6,,2439,2102,,69.0,117.9,.313,.323,.580,54.8,54.9,8.4,11.7,.552,12.6,33.0,.228
364,Youngstown State,34,21,13,.618,-3.85,-4.98,,13,7,,10,5,,9,6,,2599,2446,,70.6,107.5,.358,.461,.548,50.5,53.1,9.8,13.2,.510,14.9,30.9,.262
